title,author,year_pub,provider,region,crop,uri,group
Performance of diverse upland rice cultivars in low and high soil fertility conditions in West Africa,Orr David,2022,CIAT,West Africa,rice,doi:10.7910/DVN/2XHKHB,agronomy
Dataset for multi-model comparison and ensemble simulations of canola growth and yield across global sites,"Di, He et al",2023,CSIRO,global,rapeseed,doi:10.7910/DVN/JKNLPK,agronomy
Data from the AgMIP-Wheat high-yielding traits experiment for modeling potential production of wheat: field experiments and multi-model simulations,Guarin et al,2022,Columbia U,global,wheat,doi:10.7910/DVN/VKWKUP,agronomy
Agronomic dataset on potato growth and yield in the Netherlands,Ten Den et al,2024,WUR,Netherlands,potato,doi:10.7910/DVN/1LC6W7,agronomy
Experimental field data for modeling the growth response of tef to nitrogen fertilizer and water stress,Paff et al,2020,UFL,Ethiopia/USA,tef,doi:10.7910/DVN/BS0GZQ,agronomy
Sugar beet (Beta vulgaris L.) yield and quality data at different harvest dates from a multi-environmental study in Germany,"Christine Kenter, Christa M. Hoffmann",2025,ISBR,Germany,sugarbeet,https://odjar.org/article/view/18784,agronomy
"Cotton Response to CO2, Water, Nitrogen and Plant Density - A Repository of FACE, AgIIS and FISE Experiment Data","Kimball, Bruce A et al",2023,USDA,United States,cotton,doi:10.7910/DVN/ZGNU0O,agronomy
Long-term field experiments carried out in savannas and hillsides agroecosystems by Soil Biology (PE-2: Soils project of CIAT),"Adnan et al., ",2017,CIMMYT,Nigeria,maize,hdl:11529/223872,agronomy
Long-term field experiments carried out in savannas and hillsides agroecosystems by Soil Physics (PE-2: Soils project of CIAT),Menkir,2016,IITA,Gambia,maize,doi:10.25502/20180830/1552/MA,agronomy
"Data for the calibration of STICS and yield gap analysis for maize, groundnut cowpea and pigeon pea in Murehwa district, sub-humid Zimbabwe published in ""Identifying the drivers of yield gaps for maize and legumes in Zimbabwean smallholder farms using locally calibrated crop modelling""","Pret, Valentin; Falconnier, Gatien",2025,CIRAD,Zimbabwe,maize,doi:10.18167/DVN1/BDKC6D,agronomy
Calibration data for: Modelling climate change impacts on maize yields under low nitrogen input conditions in sub-Saharan Africa,Gatien Falconnier; Dilys S. MacCarthy; Kokou A. Amouzou; Alain Ndoli; Tesfaye S. Sida; Bouba Traore,2025,CIRAD,Africa,maize,doi:10.18167/DVN1/CIN8PB,agronomy
Rapid Characterisation of Farming Systems in Africa RISING - Ghana,"Zemadim, Birhanu (International Crops Research Institute for the Semi-Arid Tropics (ICRISAT))",2023,IFPRI,Tanzania,,doi:10.7910/DVN/HIMC9V,survey
Crop Diversification in Maize-Based Cropping System: Maize-Sesame Intercropping,International Institute of Tropical Agriculture (IITA,2021,IFPRI,Tanzania,Maize;Sesame,doi:10.7910/DVN/MA4OWZ,survey
